Cluster Label,Cluster Name,Dominant Group,Dominant Color,All Enriched,N Enriched,Best padj,Pinniped %,Cetacean %,Hippo %,Carnivore %
132,Alpha Sialyltransferase,,#666677,,0,1.0,31.8,40.1,15.1,13.1
133,Palmitoyltransferase Zdhhc,,#666677,,0,1.0,28.7,42.9,14.5,13.8
134,Tumor Necrosis,,#666677,,0,1.0,29.7,41.6,14.4,14.4
135,Repeat Containing,,#666677,,0,1.0,28.4,42.4,14.8,14.4
136,Atp Synthase,,#666677,,0,1.0,28.7,42.6,14.7,14.0
137,Atp Synthase,,#666677,,0,1.0,39.2,34.2,14.2,12.5
138,Zinc Transporter,,#666677,,0,1.0,28.4,42.2,15.3,14.1
139,Zinc Finger,,#666677,,0,1.0,28.6,42.5,14.6,14.2
140,Repeat Containing,,#666677,,0,1.0,27.1,42.8,14.0,16.0
141,Ubiquitin Ligase,,#666677,,0,1.0,28.7,42.4,15.2,13.7
142,Activated Kinase,,#666677,,0,1.0,29.2,42.0,14.0,14.7
143,Bpi Fold,,#666677,,0,1.0,34.9,34.4,13.4,17.2
144,Transcription Factor,,#666677,,0,1.0,28.8,41.9,14.3,15.0
145,Dual Specificity,,#666677,,0,1.0,28.3,43.0,14.6,14.1
146,Transmembrane Emp,,#666677,,0,1.0,31.4,40.9,13.6,14.2
147,Transcription Factor,,#666677,,0,1.0,28.7,43.2,13.7,14.5
148,Potassium Channel,,#666677,,0,1.0,29.1,42.7,14.5,13.7
149,Zinc Finger,,#666677,,0,1.0,29.4,41.4,14.9,14.3
150,Gtpase Activating,,#666677,,0,1.0,28.1,42.4,14.7,14.8
151,Carbohydrate Sulfotransferase,,#666677,,0,1.0,32.7,38.5,13.7,15.0
152,Coiled Coil,,#666677,,0,1.0,33.2,41.3,12.2,13.3
153,Repeat Containing,,#666677,,0,1.0,28.0,42.7,14.8,14.5
154,Interferon Regulatory,,#666677,,0,1.0,28.8,42.1,15.1,14.0
155,Vomeronasal Receptor,Carnivore,#06D6A0,Carnivore,1,0.004499294674875542,28.3,33.2,13.2,25.4
156,Rna Helicase,,#666677,,0,1.0,27.7,43.2,15.1,13.9
157,Solute Carrier,,#666677,,0,1.0,29.1,41.1,14.5,15.2
