Cluster Label,Cluster Name,Top OG,Top OG Description,Top padj,N Enriched OGs,All OGs
153,Repeat Containing,160672at40674,pre-mRNA splicing regulator USH1G,2.6020258297068195e-13,236,160672at40674;210659at40674;156683at40674;150711at40674;164173at40674;167749at40674;170368at40674;160631at40674;195615at40674;181139at40674
154,Interferon Regulatory,456988at40674,tubulin beta-2B chain,3.4844938187299206e-25,35,456988at40674;454322at40674;465552at40674;200419at40674;388765at40674;340803at40674;238726at40674;234595at40674;42694at40674;401836at40674
155,Vomeronasal Receptor,255475at40674,Extracellular sulfatase Sulf-1,2.9930012414386216e-18,20,255475at40674;271182at40674;368406at40674;372620at40674;419133at40674;376985at40674;424374at40674;451787at40674;464556at40674;453062at40674
156,Rna Helicase,458332at40674,atp-dependent rna helicase,2.414192438728895e-21,133,458332at40674;464822at40674;125904at40674;188517at40674;436038at40674;377419at40674;206058at40674;196321at40674;199347at40674;195206at40674
157,Solute Carrier,451618at40674,e3 ubiquitin-protein ligase,8.986780952323089e-33,59,451618at40674;188259at40674;350349at40674;286463at40674;440101at40674;454940at40674;469866at40674;202273at40674;204606at40674;207166at40674
158,Cklf Marvel,463200at40674,Proteolipid protein 2,3.343491152336208e-19,43,463200at40674;457529at40674;458757at40674;136722at40674;209960at40674;155679at40674;207256at40674;203063at40674;370791at40674;320226at40674
159,Inward Rectifier,471511at40674,acidic leucine-rich nuclear phosphoprotein 32 family member A,2.994625680034842e-35,31,471511at40674;451766at40674;417020at40674;378056at40674;468527at40674;461805at40674;469489at40674;108900at40674;423229at40674;385716at40674
160,Ubx Containing,203599at40674,regulation of nuclear pre-mrna,1.43564230149776e-28,116,203599at40674;465688at40674;326172at40674;454360at40674;470582at40674;467855at40674;460271at40674;411164at40674;52541at40674;214917at40674
161,Serine Protease,245462at40674,kelch-like protein 2,3.61023095329138e-31,69,245462at40674;453321at40674;455098at40674;393444at40674;459522at40674;458392at40674;308708at40674;289975at40674;371813at40674;447750at40674
162,Atp Binding,463750at40674,clathrin light chain A,1.688300895877122e-27,62,463750at40674;469355at40674;374757at40674;408373at40674;468357at40674;470793at40674;372521at40674;70040at40674;320613at40674;292321at40674
163,Coiled Coil,465795at40674,phosphofurin acidic cluster sorting protein 1,4.01060694432161e-31,78,465795at40674;464683at40674;470463at40674;159955at40674;210560at40674;213488at40674;208059at40674;197274at40674;306673at40674;216262at40674
164,Volume Regulated,462209at40674,solute carrier family 15 member,7.033841952474658e-36,32,462209at40674;458808at40674;470606at40674;451259at40674;422419at40674;367248at40674;211142at40674;291170at40674;454114at40674;453698at40674
165,Density Lipoprotein,454385at40674,actin-binding LIM protein 1 isoform 1,1.9093292025612682e-26,76,454385at40674;452716at40674;466441at40674;460506at40674;457913at40674;156576at40674;177359at40674;175776at40674;296138at40674;29795at40674
166,Integrator Complex,452005at40674,elmo domain-containing protein 1,6.051052413576584e-22,121,452005at40674;17922at40674;271073at40674;458367at40674;465249at40674;471136at40674;116678at40674;115206at40674;211806at40674;195208at40674
167,Ubiquitin Ligase,462667at40674,transmembrane protein 120B,3.306205378415495e-29,108,462667at40674;452570at40674;370493at40674;158767at40674;467975at40674;155482at40674;151143at40674;121035at40674;201975at40674;201074at40674
168,Atp Binding,311004at40674,hemoglobin subunit alpha,1.0682417846746691e-50,38,311004at40674;460659at40674;456686at40674;192853at40674;213572at40674;243854at40674;205474at40674;205301at40674;376552at40674;395119at40674
169,Transcription Factor,459097at40674,U2 small nuclear ribonucleoprotein A',3.940200633227864e-18,58,459097at40674;106081at40674;187555at40674;187455at40674;200741at40674;199485at40674;205993at40674;190833at40674;320847at40674;215583at40674
170,Dnaj Subfamily,469240at40674,dnaJ homolog subfamily C member 2,7.25760759843512e-20,68,469240at40674;122406at40674;267420at40674;205523at40674;414118at40674;464712at40674;460566at40674;352808at40674;470081at40674;209893at40674
171,Calcium Binding,195175at40674,DCN1-like protein 5,3.5411288805037506e-29,69,195175at40674;452748at40674;457887at40674;331913at40674;456130at40674;453104at40674;275466at40674;313924at40674;456094at40674;199071at40674
172,Ubiquitin Ligase,204526at40674,y+l amino acid transporter 1,7.606039019918387e-31,72,204526at40674;455682at40674;466006at40674;469816at40674;455917at40674;218223at40674;470301at40674;203844at40674;304633at40674;302680at40674
173,Solute Carrier,236011at40674,Brain mitochondrial carrier protein 1,1.606543471947169e-36,43,236011at40674;393412at40674;243837at40674;370085at40674;453391at40674;457622at40674;454016at40674;118246at40674;269888at40674;260132at40674
174,Tyrosine Kinase,452501at40674,receptor tyrosine-protein kinase,5.473311864149476e-29,25,452501at40674;201977at40674;254424at40674;219191at40674;211099at40674;200047at40674;267629at40674;196891at40674;287797at40674;307309at40674
175,Repeat Containing,253089at40674,wd repeat-containing protein 5,9.420789979170971e-28,132,253089at40674;324033at40674;465411at40674;455275at40674;153at40674;151329at40674;112165at40674;107884at40674;198120at40674;199600at40674
176,Thymosin Beta,459119at40674,Retina-specific copper amine oxidase,3.8435274391159526e-31,29,459119at40674;325475at40674;461396at40674;392214at40674;355496at40674;401736at40674;255746at40674;205583at40674;454686at40674;455618at40674
177,Interleukin Receptor,16696at40674,down syndrome cell adhesion,6.711952626354315e-29,105,16696at40674;457314at40674;461134at40674;200615at40674;393659at40674;340591at40674;458514at40674;199309at40674;207071at40674;203963at40674
178,Kelch Repeat,288267at40674,Kelch repeat and BTB domain-containing protein 7,5.791121731163313e-32,68,288267at40674;293042at40674;407017at40674;2174at40674;453250at40674;202755at40674;106975at40674;198147at40674;239664at40674;210174at40674
179,Amino Acid,341855at40674,prefoldin subunit 5,3.9365005740813417e-25,35,341855at40674;454559at40674;389743at40674;192229at40674;256073at40674;274863at40674;359015at40674;231269at40674;430730at40674;367625at40674
180,Lumen Retaining,458704at40674,Dysferlin,4.156909632587717e-38,23,458704at40674;453779at40674;265426at40674;460090at40674;314552at40674;341408at40674;246928at40674;235363at40674;399207at40674;392971at40674
181,Integrin Beta,348285at40674,interferon-induced transmembrane protein 3,3.98467030524759e-20,59,348285at40674;319086at40674;456469at40674;465361at40674;467430at40674;218434at40674;353883at40674;114307at40674;368913at40674;380114at40674
182,Proteasome Beta,462015at40674,aldehyde dehydrogenase family 3,1.1487532410486785e-32,35,462015at40674;456945at40674;453176at40674;457582at40674;209967at40674;310254at40674;452855at40674;451768at40674;328192at40674;235340at40674
183,Rna Helicase,451325at40674,nucleoside diphosphate kinase,1.0534193295758229e-36,28,451325at40674;413089at40674;465949at40674;189201at40674;471872at40674;357414at40674;320276at40674;125428at40674;372397at40674;370629at40674
184,Complement Tumor,467808at40674,Pulmonary surfactant-associated protein D,2.504452850728096e-18,54,467808at40674;469951at40674;464735at40674;247535at40674;213533at40674;120919at40674;209420at40674;196410at40674;385904at40674;357889at40674
185,Zinc Finger,159487at40674,small integral membrane protein 10-like,1.9170386846914982e-21,74,159487at40674;321222at40674;370325at40674;207695at40674;365384at40674;297600at40674;23218at40674;211058at40674;323739at40674;340759at40674
186,Repeat Containing,347717at40674,ankyrin repeat and socs box protein,5.487452888459221e-26,130,347717at40674;137353at40674;117391at40674;111385at40674;145876at40674;201144at40674;197499at40674;14202at40674;20805at40674;205078at40674
187,Exosome Complex,454010at40674,glucagon-like peptide 1 receptor,8.126486864370553e-28,46,454010at40674;198825at40674;452308at40674;108396at40674;227641at40674;28091at40674;197413at40674;211931at40674;336454at40674;337811at40674
188,Solute Carrier,469679at40674,eukaryotic translation initiation factor,3.0810038594782565e-23,29,469679at40674;468713at40674;297239at40674;18070at40674;307630at40674;337861at40674;202179at40674;306815at40674;43524at40674;407234at40674
189,Small Ubiquitin,435991at40674,histone H2A type 1,5.3647589792476554e-55,28,435991at40674;459337at40674;331208at40674;337929at40674;454403at40674;190539at40674;285289at40674;215433at40674;457325at40674;198436at40674
