Cluster Label,Cluster Name,Top OG,Top OG Description,Top padj,N Enriched OGs,All OGs
62,Coa Dehydrogenase,461849at40674,proteasome maturation protein,9.027525291946149e-28,36,461849at40674;451194at40674;194931at40674;452125at40674;203799at40674;14473at40674;187073at40674;200124at40674;426539at40674;394144at40674
63,Nuclear Receptor,459534at40674,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",8.197366090655784e-31,75,459534at40674;454761at40674;452792at40674;452022at40674;456305at40674;300281at40674;192957at40674;139950at40674;454395at40674;386737at40674
64,Ras Rab,457839at40674,Ras-related protein Rab-2A,1.1950076363004181e-29,65,457839at40674;453084at40674;453847at40674;196912at40674;343807at40674;452631at40674;399567at40674;451249at40674;459388at40674;452968at40674
65,Beta Acetylglucosaminyltransferase,301276at40674,cartilage-associated protein,1.5300186324944864e-26,156,301276at40674;452449at40674;454262at40674;460175at40674;452405at40674;291753at40674;103633at40674;248300at40674;383911at40674;460486at40674
66,Small Nuclear,60384at40674,histone H2B type 1,1.6826183670787952e-48,45,60384at40674;459845at40674;453200at40674;378797at40674;464743at40674;385215at40674;394447at40674;193087at40674;462202at40674;361574at40674
67,Complex Sigma,274520at40674,camp-dependent protein kinase type,2.477180105989184e-35,34,274520at40674;452714at40674;463540at40674;461017at40674;468559at40674;469868at40674;453507at40674;268542at40674;454275at40674;455690at40674
68,Guanine Nucleotide,453168at40674,guanine nucleotide-binding protein,6.41969242411273e-34,46,453168at40674;451173at40674;342140at40674;209330at40674;461784at40674;466160at40674;457008at40674;457685at40674;199782at40674;239314at40674
69,Phosphatidylinositol Phosphate,154835at40674,dipeptidase 3,5.725345560843901e-23,78,154835at40674;291647at40674;386150at40674;361874at40674;469049at40674;196822at40674;131404at40674;195503at40674;217030at40674;200566at40674
70,Small Integral,209408at40674,neuronal vesicle trafficking-associated protein 1,1.59120796639425e-28,121,209408at40674;461641at40674;304497at40674;161929at40674;465425at40674;469108at40674;410339at40674;183455at40674;205962at40674;206903at40674
71,Olfactory Receptor,466890at40674,Olfactory receptor,9.757616913709818e-22,26,466890at40674;454327at40674;452279at40674;274696at40674;430356at40674;455355at40674;404813at40674;251224at40674;463397at40674;463148at40674
72,Large Ribosomal,453339at40674,tubulin alpha chain,4.0525873537731123e-53,68,453339at40674;405791at40674;457785at40674;149273at40674;69910at40674;460303at40674;367806at40674;452060at40674;232963at40674;265995at40674
73,Class Histocompatibility,469817at40674,Tropomyosin alpha-3 chain,2.0849137277507228e-26,22,469817at40674;28877at40674;358184at40674;212104at40674;378416at40674;213225at40674;22098at40674;207880at40674;453504at40674;369678at40674
74,Repeat Phosphoinositide,451221at40674,Histone-binding protein RBBP4,1.895535121188349e-35,80,451221at40674;451931at40674;454428at40674;157150at40674;197312at40674;196185at40674;196506at40674;197303at40674;206548at40674;209885at40674
75,Disco Interacting,197399at40674,tolloid-like 2,7.717211472018147e-21,11,197399at40674;219152at40674;379305at40674;413927at40674;456473at40674;454267at40674;457475at40674;460779at40674;66631at40674;468321at40674
76,Transposable Element,398323at40674,LOW QUALITY PROTEIN: uncharacterized protein LOC100771342 isoform X2,4.891577001938319e-50,50,398323at40674;222690at40674;456841at40674;404923at40674;462602at40674;260631at40674;452528at40674;209498at40674;372844at40674;272975at40674
77,Creatine Kinase,452237at40674,Profilin,1.4568009439400536e-36,28,452237at40674;451421at40674;229924at40674;455044at40674;455880at40674;460999at40674;451224at40674;306514at40674;394856at40674;352357at40674
78,Splicing Factor,112035at40674,metastasis-associated protein,4.523769796686321e-22,116,112035at40674;214359at40674;158565at40674;351775at40674;470735at40674;468173at40674;465005at40674;464308at40674;212949at40674;208911at40674
79,Solute Carrier,461590at40674,Coatomer gamma subunit,1.4308512817360017e-31,101,461590at40674;458471at40674;454591at40674;203991at40674;398456at40674;460601at40674;339288at40674;356103at40674;205600at40674;206143at40674
80,Matrix Metalloproteinase,451047at40674,spry domain-containing socs box,6.785421753463746e-28,59,451047at40674;454022at40674;463606at40674;398467at40674;461923at40674;461769at40674;457516at40674;456413at40674;350493at40674;402078at40674
81,Ephrin Receptor,454633at40674,fibroblast growth factor receptor,2.632291628390988e-28,123,454633at40674;458942at40674;464816at40674;459389at40674;111325at40674;117759at40674;122326at40674;190943at40674;198658at40674;199859at40674
82,Comm Containing,371171at40674,large ribosomal subunit protein uL29,7.044851968957949e-28,18,371171at40674;424649at40674;197220at40674;199577at40674;455147at40674;456566at40674;170898at40674;17375at40674;301510at40674;271236at40674
83,Channel Alpha,457609at40674,TRPM8 channel-associated factor 2,8.911974217858797e-34,44,457609at40674;455079at40674;463318at40674;458022at40674;443560at40674;466804at40674;471288at40674;206246at40674;367215at40674;258163at40674
84,Adenylate Cyclase,210126at40674,Huntingtin-interacting protein 1,2.0893856758959714e-34,43,210126at40674;470807at40674;392859at40674;253998at40674;461575at40674;455357at40674;463365at40674;211587at40674;316343at40674;319136at40674
85,Zinc Finger,458838at40674,f-actin-capping protein subunit,1.3065672956178441e-34,90,458838at40674;457274at40674;341254at40674;435759at40674;463331at40674;457232at40674;468133at40674;198414at40674;209685at40674;211833at40674
86,Taste Receptor,416210at40674,chromobox protein homolog 3,2.89824145645754e-36,28,416210at40674;303191at40674;385010at40674;451734at40674;460212at40674;453511at40674;369654at40674;170138at40674;452245at40674;421035at40674
87,Zinc Finger,41191at40674,Ribosomal biogenesis factor,4.426241975125956e-30,90,41191at40674;68418at40674;211028at40674;413698at40674;456353at40674;452730at40674;471335at40674;159515at40674;458922at40674;204507at40674
88,Receptor Alpha,457335at40674,gamma-aminobutyric acid receptor,8.911974217858797e-34,46,457335at40674;457773at40674;457946at40674;455405at40674;458907at40674;288331at40674;463765at40674;407826at40674;470296at40674;320513at40674
89,Keratin Associated,457093at40674,dynein heavy chain axonemal,1.64130632677184e-30,52,457093at40674;3331at40674;413166at40674;156952at40674;458165at40674;260267at40674;207650at40674;202295at40674;316207at40674;315286at40674
90,Zinc Finger,454930at40674,HMG box-containing protein 1,2.3006064671765126e-16,177,454930at40674;471964at40674;347607at40674;190402at40674;453408at40674;211579at40674;196451at40674;208599at40674;210718at40674;206924at40674
91,Atp Binding,457436at40674,ATP-binding cassette sub-family C member 3,9.280020350621174e-34,47,457436at40674;465964at40674;383080at40674;205581at40674;308687at40674;225011at40674;225524at40674;207398at40674;233045at40674;211421at40674
92,Zinc Finger,457339at40674,Folliculin-interacting protein 1,9.328748799813694e-21,155,457339at40674;466410at40674;445835at40674;453537at40674;461931at40674;110308at40674;118348at40674;110658at40674;207508at40674;207171at40674
93,Atp Dependent,203232at40674,mitochondrial genome maintenance exonuclease 1,9.79023478119385e-15,160,203232at40674;240501at40674;277440at40674;384878at40674;384855at40674;456418at40674;459544at40674;456492at40674;201416at40674;199812at40674
94,Motif Chemokine,417321at40674,growth-regulated protein homolog,1.1390268052022158e-23,47,417321at40674;13427at40674;412651at40674;467399at40674;88980at40674;213705at40674;212618at40674;103249at40674;342960at40674;264474at40674
95,Cell Surface,321440at40674,butyrophilin subfamily 2 member A2,1.5881364289691279e-31,123,321440at40674;470153at40674;466440at40674;326001at40674;323761at40674;465944at40674;214817at40674;100314at40674;288743at40674;29027at40674
96,Thap Containing,215576at40674,Transcription initiation factor TFIID subunit 7,9.484189352828559e-29,154,215576at40674;334084at40674;350874at40674;171905at40674;351126at40674;470085at40674;151384at40674;166163at40674;205055at40674;190003at40674
97,Repeat Containing,364955at40674,constitutive coactivator of PPAR-gamma-like protein 2 isoform 2,2.2414926037639143e-25,191,364955at40674;455704at40674;464668at40674;461095at40674;13189at40674;397224at40674;44483at40674;451454at40674;458159at40674;311440at40674
98,Mob Kinase,233026at40674,Rho-related GTP-binding protein RhoC,9.046278911909958e-41,22,233026at40674;451212at40674;451644at40674;461297at40674;373588at40674;227803at40674;199085at40674;233919at40674;390223at40674;33879at40674
99,Heat Shock,467762at40674,long-chain-fatty-acid--CoA ligase ACSBG1,2.4243316184244876e-30,58,467762at40674;280381at40674;414240at40674;388023at40674;456755at40674;471243at40674;442853at40674;231973at40674;28999at40674;2875at40674
100,Nacht Lrr,461359at40674,PIH1 domain-containing protein 2,2.5546726366885206e-20,105,461359at40674;460279at40674;461339at40674;305884at40674;456057at40674;419425at40674;163089at40674;107812at40674;210165at40674;211415at40674
101,Rna Binding,460947at40674,RNA-binding protein Musashi homolog 2,1.9999827930284633e-30,79,460947at40674;452689at40674;42070at40674;467100at40674;213262at40674;213842at40674;2996at40674;182746at40674;212761at40674;462016at40674
102,Coiled Coil,466480at40674,HUWE1-associated protein modifying stress responses,7.157324929624505e-23,297,466480at40674;468955at40674;410957at40674;441360at40674;454226at40674;373344at40674;456277at40674;156022at40674;144880at40674;471250at40674
103,Transcription Factor,456082at40674,alpha-actinin-2 isoform 2,4.966881077982226e-36,34,456082at40674;348638at40674;469337at40674;467980at40674;211696at40674;314433at40674;195913at40674;127446at40674;394055at40674;425742at40674
104,Keratin Cytoskeletal,465064at40674,Cytochrome P450,1.3119957765195986e-31,59,465064at40674;465598at40674;457616at40674;470625at40674;470332at40674;461406at40674;181063at40674;468408at40674;466980at40674;464102at40674
105,Signal Recognition,453187at40674,eukaryotic translation initiation factor 2 subunit,8.095896489288717e-23,30,453187at40674;460013at40674;453561at40674;471433at40674;194184at40674;202474at40674;214529at40674;215366at40674;402810at40674;33843at40674
106,Carboxyl Terminal,196875at40674,multiple epidermal growth factor-like domains protein 11,1.8512912704581415e-27,138,196875at40674;450972at40674;465951at40674;338458at40674;404967at40674;463598at40674;453096at40674;428840at40674;454499at40674;464500at40674
107,Trafficking Particle,463910at40674,Dynamin,4.4421166746627494e-33,54,463910at40674;458190at40674;457266at40674;451176at40674;457527at40674;84887at40674;462337at40674;460725at40674;466934at40674;14893at40674
108,Disintegrin Metalloproteinase,456153at40674,interstitial collagenase A,3.080193834929552e-36,31,456153at40674;454109at40674;471476at40674;467018at40674;386028at40674;116166at40674;202780at40674;14305at40674;451868at40674;453931at40674
109,Integrin Alpha,463358at40674,integrin alpha-M,1.4421256987448594e-32,57,463358at40674;153811at40674;391647at40674;50855at40674;395977at40674;467326at40674;317338at40674;200511at40674;390102at40674;386434at40674
110,Initiation Factor,466092at40674,Transcription initiation factor TFIID subunit 9B,1.1406989097158317e-32,55,466092at40674;259615at40674;415285at40674;347172at40674;462863at40674;471062at40674;459385at40674;149088at40674;297585at40674;280308at40674
111,Pro Neuregulin,393878at40674,"pro-neuregulin-3, membrane-bound isoform",6.623877001113902e-42,109,393878at40674;461239at40674;468940at40674;195622at40674;16742at40674;452331at40674;195270at40674;201948at40674;213520at40674;211510at40674
112,Nad Dependent,24443at40674,Hydroxyacylglutathione hydrolase-like protein,3.8260944333152385e-25,278,24443at40674;456619at40674;456574at40674;454530at40674;388093at40674;465780at40674;457541at40674;458712at40674;454115at40674;460750at40674
113,Retinol Dehydrogenase,459787at40674,XK protein,1.5847796680946635e-26,112,459787at40674;459900at40674;89969at40674;37300at40674;384045at40674;458057at40674;395954at40674;372041at40674;457026at40674;469448at40674
114,Rna Binding,460267at40674,MICOS complex subunit MIC26,1.2065104488182599e-23,49,460267at40674;203023at40674;457429at40674;334237at40674;472200at40674;471150at40674;467576at40674;203760at40674;247133at40674;279496at40674
115,Growth Factor,464926at40674,anthrax toxin receptor 1,1.9177782307925086e-28,119,464926at40674;403185at40674;460961at40674;466841at40674;453719at40674;198345at40674;159096at40674;17308at40674;206828at40674;208013at40674
116,Ribosomal Mitochondrial,197535at40674,Inositol monophosphatase 1,1.503768149770267e-33,75,197535at40674;130018at40674;135760at40674;455767at40674;458525at40674;69425at40674;195431at40674;1845at40674;237325at40674;211551at40674
117,Adp Ribosylation,452589at40674,ADP-ribosylation factor 1,1.0364169381216158e-38,17,452589at40674;453230at40674;247139at40674;199840at40674;453013at40674;349892at40674;454078at40674;230452at40674;456262at40674;460697at40674
118,Phase Inducer,460913at40674,eukaryotic translation initiation factor 1,2.2087025600015234e-46,15,460913at40674;458108at40674;457432at40674;451503at40674;347107at40674;454453at40674;362070at40674;27995at40674;463229at40674;456604at40674
119,Conjugating Enzyme,463151at40674,ubiquitin-conjugating enzyme e2,1.999913569459832e-36,26,463151at40674;431443at40674;451410at40674;451141at40674;79105at40674;460782at40674;452185at40674;451510at40674;451165at40674;409680at40674
120,Transcription Factor,457168at40674,E3 ubiquitin-protein ligase RNF114,1.3262838990945779e-18,126,457168at40674;196153at40674;466287at40674;383393at40674;4199at40674;463442at40674;469739at40674;115900at40674;325969at40674;330381at40674
121,Transporting Atpase,320509at40674,phospholipid-transporting ATPase VB,3.7894994757246715e-30,85,320509at40674;425434at40674;460644at40674;462412at40674;331328at40674;364514at40674;439107at40674;456016at40674;313557at40674;468156at40674
122,Cytochrome Oxidase,418272at40674,Zinc finger protein 703,4.4318088364575315e-33,32,418272at40674;467144at40674;347640at40674;197544at40674;66516at40674;345256at40674;245489at40674;146148at40674;470484at40674;453625at40674
